model_key,valid_fold,mcc,micro_auprc,sensitivity,precision,micro_auroc,valid_mcc,best_threshold,finished_at
esm-t33,0,0.6565,0.6706,0.592,0.7586,0.9256,0.671,-2.9,2024-06-14 23:30:25
esm-t33,1,0.6496,0.6601,0.635,0.6959,0.9272,0.587,-2.6,2024-06-14 23:36:07
esm-t33,2,0.6795,0.6879,0.6291,0.7626,0.9362,0.5864,-2.6,2024-06-14 23:41:55
esm-t33,3,0.6625,0.6761,0.6142,0.7446,0.9306,0.6865,-2.3,2024-06-14 23:47:46
esm-t33,4,0.6642,0.6621,0.5979,0.7676,0.9184,0.6522,-1.7,2024-06-14 23:53:36
esm-t33-gearnet,0,0.6625,0.6912,0.6068,0.7532,0.9193,0.6781,-2.8,2024-06-15 00:04:11
esm-t33-gearnet,1,0.6833,0.6878,0.6558,0.7404,0.9156,0.593,-3.0,2024-06-15 00:14:47
esm-t33-gearnet,2,0.6815,0.6959,0.6291,0.7667,0.9264,0.613,-1.4,2024-06-15 00:25:19
esm-t33-gearnet,3,0.6691,0.6975,0.6424,0.7265,0.9317,0.6929,-2.7,2024-06-15 00:35:48
esm-t33-gearnet,4,0.6604,0.6754,0.6039,0.7523,0.932,0.6556,-1.1,2024-06-15 00:46:24
esm-t33-gearnet-adaboost-r10,0,0.6729,0.6898,0.6335,0.7439,0.9064,0.6994,-1.2,2024-06-15 16:01:17
esm-t33-gearnet-adaboost-r10,1,0.6904,0.7139,0.6588,0.7513,0.9137,0.6064,-1.3,2024-06-15 17:56:29
esm-t33-gearnet-adaboost-r10,2,0.6902,0.7109,0.6721,0.7366,0.9053,0.6219,-1.8,2024-06-15 19:51:11
esm-t33-gearnet-adaboost-r10,3,0.7049,0.7186,0.6706,0.7674,0.92,0.6895,-1.2,2024-06-15 21:45:30
esm-t33-gearnet-adaboost-r10,4,0.6841,0.7019,0.6365,0.7633,0.912,0.6699,-0.9,2024-06-15 23:40:22
esm-t33-gearnet-resiboost-r10,0,0.6842,0.7008,0.6499,0.7487,0.9058,0.7124,-0.8,2024-06-16 01:34:55
esm-t33-gearnet-resiboost-r10,1,0.6796,0.7132,0.6706,0.7175,0.9078,0.6209,-1.2,2024-06-16 03:29:41
esm-t33-gearnet-resiboost-r10,2,0.7012,0.718,0.6365,0.7989,0.9091,0.6213,-0.1,2024-06-16 05:23:54
esm-t33-gearnet-resiboost-r10,3,0.7017,0.7251,0.678,0.7529,0.9236,0.6962,-0.9,2024-06-16 07:18:07
esm-t33-gearnet-resiboost-r10,4,0.689,0.7083,0.6766,0.7296,0.9102,0.6717,-1.2,2024-06-16 09:12:54
bert,0,0.5031,0.4771,0.4184,0.6483,0.8678,0.4713,-2.9,2024-06-16 13:21:00
bert,1,0.4872,0.4748,0.3917,0.6502,0.8776,0.4603,-1.6,2024-06-16 13:24:18
