model_key,valid_fold,mcc,micro_auprc,sensitivity,precision,micro_auroc,valid_mcc,best_threshold,finished_at
esm-t33-gearnet-adaboost-r10,0,0.5884,0.5405,0.4493,0.8158,0.8325,0.7309,0.0,2024-06-16 16:26:51
esm-t33-gearnet-adaboost-r10,1,0.5796,0.5888,0.4783,0.75,0.8555,0.6474,-0.5,2024-06-16 16:32:00
esm-t33-gearnet-adaboost-r10,2,0.5952,0.5849,0.5072,0.7447,0.8305,0.7255,-0.3,2024-06-16 16:37:07
esm-t33-gearnet-adaboost-r10,3,0.6146,0.5737,0.4928,0.8095,0.8576,0.8859,-0.2,2024-06-16 16:42:14
esm-t33-gearnet-adaboost-r10,4,0.5679,0.5975,0.4638,0.7442,0.8625,0.7125,-0.2,2024-06-16 16:47:20
esm-t33-gearnet-resiboost-r10,0,0.5128,0.5917,0.6232,0.4778,0.8456,0.7292,0.0,2024-06-16 16:52:24
esm-t33-gearnet-resiboost-r10,1,0.5931,0.6483,0.6667,0.575,0.8567,0.705,-0.1,2024-06-16 16:57:34
esm-t33-gearnet-resiboost-r10,2,0.6112,0.6322,0.5797,0.6897,0.8658,0.6766,0.9,2024-06-16 17:02:41
esm-t33-gearnet-resiboost-r10,3,0.5995,0.6137,0.5797,0.6667,0.8496,0.9344,0.5,2024-06-16 17:07:50
esm-t33-gearnet-resiboost-r10,4,0.6285,0.624,0.5507,0.76,0.8198,0.8064,0.9,2024-06-16 17:12:56
esm-t33-gearnet-pretrained-adaboost-r10,0,0.5148,0.5724,0.3188,0.88,0.7695,0.7368,0.1,2024-06-16 17:18:16
esm-t33-gearnet-pretrained-adaboost-r10,1,0.6531,0.6551,0.6377,0.7097,0.9112,0.6907,-0.8,2024-06-16 17:23:40
esm-t33-gearnet-pretrained-adaboost-r10,2,0.595,0.5902,0.4783,0.7857,0.8483,0.7802,-0.3,2024-06-16 17:29:06
esm-t33-gearnet-pretrained-adaboost-r10,3,0.6106,0.5856,0.5362,0.74,0.8086,0.9128,-0.3,2024-06-16 17:34:30
esm-t33-gearnet-pretrained-adaboost-r10,4,0.6692,0.6561,0.5652,0.8298,0.8216,0.8175,-0.4,2024-06-16 17:39:56
esm-t33-gearnet-pretrained-resiboost-r10,0,0.6095,0.6138,0.6232,0.6418,0.7923,0.7417,-0.1,2024-06-16 17:45:15
esm-t33-gearnet-pretrained-resiboost-r10,1,0.6096,0.6752,0.6087,0.6562,0.8733,0.7305,0.5,2024-06-16 17:50:44
esm-t33-gearnet-pretrained-resiboost-r10,2,0.6298,0.6495,0.5797,0.7273,0.865,0.7191,0.8,2024-06-16 17:56:10
esm-t33-gearnet-pretrained-resiboost-r10,3,0.6384,0.6499,0.6087,0.7119,0.867,0.9252,0.2,2024-06-16 18:01:40
esm-t33-gearnet-pretrained-resiboost-r10,4,0.6234,0.6246,0.5797,0.7143,0.8013,0.7979,0.5,2024-06-16 18:07:06
