model,fold,threshold,mcc,micro_auprc,sensitivity,precision,micro_auroc
esm-t33-gearnet,0,-2.8,0.6539617227124407,0.6865729689598083,0.5949555039405823,0.7495326995849609,0.917866587638855
esm-t33-gearnet,1,-3.0,0.6884136350885147,0.6864824295043945,0.6632047295570374,0.7425249218940735,0.9165894389152528
esm-t33-gearnet,2,-1.4,0.6795354268256532,0.6925243735313416,0.6290801167488098,0.7625899314880371,0.926521360874176
esm-t33-gearnet,3,-2.7,0.6714006489656248,0.6961629390716553,0.6483679413795471,0.7247098088264465,0.9322106242179872
esm-t33-gearnet,4,-1.1,0.6547670947203956,0.6800017952919006,0.5979228615760803,0.7476809024810791,0.9327994585037231
esm-t33-gearnet-adaboost-r10,0,-1.2,0.6762368349600094,0.6863893270492554,0.6364985108375549,0.7473867535591125,0.9067363142967224
esm-t33-gearnet-adaboost-r10,1,-1.3,0.6911560873762895,0.7118350863456726,0.6617210507392883,0.7495798468589783,0.9138970375061036
esm-t33-gearnet-adaboost-r10,2,-1.8,0.6891842514976947,0.7080940008163452,0.6750741600990295,0.7315112352371216,0.902274250984192
esm-t33-gearnet-adaboost-r10,3,-1.2,0.7075839363371148,0.7192980647087097,0.6735904812812805,0.7694915533065796,0.9203314781188964
esm-t33-gearnet-adaboost-r10,4,-0.9,0.6856286792694052,0.7061218023300171,0.6320474743843079,0.77173912525177,0.915115475654602
esm-t33-gearnet-resiboost-r10,0,-0.8,0.6802852030631837,0.7010965943336487,0.6468842625617981,0.744027316570282,0.906021237373352
esm-t33-gearnet-resiboost-r10,1,-1.2,0.6852472854511484,0.7127447128295898,0.6780415177345276,0.7208201885223389,0.9119930267333984
esm-t33-gearnet-resiboost-r10,2,-0.1,0.6993675685073499,0.717961847782135,0.637982189655304,0.7933579087257385,0.9058423638343812
esm-t33-gearnet-resiboost-r10,3,-0.9,0.7010346971358212,0.7246460318565369,0.6780415177345276,0.7516447305679321,0.9240845441818236
esm-t33-gearnet-resiboost-r10,4,-1.2,0.6857698530579931,0.7127052545547485,0.6735904812812805,0.7264000177383423,0.9129117131233216
esm-t33-gearnet,0,-2.8,0.6539617227124407,0.6865729689598083,0.5949555039405823,0.7495326995849609,0.917866587638855
esm-t33-gearnet,1,-3.0,0.6884136350885147,0.6864824295043945,0.6632047295570374,0.7425249218940735,0.9165894389152528
esm-t33-gearnet,2,-1.4,0.6795354268256532,0.6925243735313416,0.6290801167488098,0.7625899314880371,0.926521360874176
esm-t33-gearnet,3,-2.7,0.6714006489656248,0.6961629390716553,0.6483679413795471,0.7247098088264465,0.9322106242179872
esm-t33-gearnet,4,-1.1,0.6547670947203956,0.6800017952919006,0.5979228615760803,0.7476809024810791,0.9327994585037231
esm-t33-gearnet-adaboost-r90,0,-3.0,0.6815341636446541,0.7123864889144897,0.639465868473053,0.7548161149024963,0.9246415495872498
esm-t33-gearnet-adaboost-r90,1,-2.7,0.6903172888761728,0.7223543524742126,0.6483679413795471,0.7626526951789856,0.9328538179397584
esm-t33-gearnet-adaboost-r90,2,-3.0,0.7045601630706956,0.7337159514427185,0.6691394448280334,0.768313467502594,0.9270700216293336
esm-t33-gearnet-adaboost-r90,3,-2.7,0.7019696040398006,0.7294002175331116,0.6691394448280334,0.7631133794784546,0.9447348117828368
esm-t33-gearnet-adaboost-r90,4,-2.5,0.6899470397216596,0.727270781993866,0.6468842625617981,0.7635726928710938,0.9409703016281128
esm-t33-gearnet-resiboost-r90,0,-3.0,0.6744566386564994,0.7165088057518005,0.6439169049263,0.7355931997299194,0.9262731075286864
esm-t33-gearnet-resiboost-r90,1,-2.7,0.6915432183260144,0.7267682552337646,0.6632047295570374,0.7487437129020691,0.935222029685974
esm-t33-gearnet-resiboost-r90,2,-3.0,0.7038448599216074,0.7338339686393738,0.6661720871925354,0.7701543569564819,0.9290744662284852
esm-t33-gearnet-resiboost-r90,3,-2.9,0.714550263790739,0.7276208400726318,0.6943620443344116,0.7609755992889404,0.9378221035003662
esm-t33-gearnet-resiboost-r90,4,-2.5,0.6977574979181251,0.7332196831703186,0.6572700142860413,0.7677642703056335,0.9412384629249573
